chromosome,position,marker_index,beta_tumor,beta_normal,sequence,within_sequence,beta_corrected,state
1,2937769,720577,0.396565049886704,0.398218721151352,1,59,0.497923664588311,3
1,2939927,275247,0.513607859611511,0.486515522003174,1,61,0.526380873005186,3
1,2940230,148717,0.542443096637726,0.529940545558929,1,63,0.513298903958503,3
1,2942700,245134,0.438298553228378,0.45700478553772,1,65,0.479533876995039,3
1,2947460,208708,0.593851625919342,0.644970834255219,1,67,0.460370914760117,3
1,2960790,922105,0.201403066515923,0.371301114559174,1,69,0.271212580057884,3
1,2990784,342766,0.54185289144516,0.487530052661896,1,71,0.553000999439509,3
1,2994217,227774,0.503241896629334,0.458582580089569,1,73,0.541242962359017,3
1,3016120,788473,0.496672242879868,0.433405786752701,1,75,0.555830482069849,3
1,3037112,274624,0.475445091724396,0.530730426311493,1,77,0.447915804477875,3
1,3048230,871456,0.762202858924866,0.693327009677887,1,79,0.612295264696502,3
1,3070800,883021,0.382560670375824,0.300600469112396,1,81,0.558593262966171,3
1,3109349,691903,0.49500098824501,0.48102080821991,1,83,0.513468921535321,3
1,3117785,317030,0.440170735120773,0.482216238975525,1,85,0.456403890561548,3
1,3136890,136907,0.484891772270203,0.453942984342575,1,87,0.528338421666799,3
1,3187340,699997,0.549647092819214,0.572786152362824,1,89,0.479801310272466,3
1,3202806,712507,0.35294970870018,0.404181629419327,1,91,0.436622650573271,3
1,3211231,338026,0.565349161624908,0.531167328357697,1,93,0.536454192865308,3
1,3212487,565769,0.489588588476181,0.467143177986145,1,95,0.521061389816881,3
1,3215800,296113,0.522260248661041,0.49584972858429,1,97,0.526193103102561,3
1,3216693,766039,0.576161563396454,0.560202717781067,1,99,0.518143410908395,3
1,3227034,144127,0.527838349342346,0.510822415351868,1,101,0.517392389312685,3
1,3241964,789109,0.655693292617798,0.662910282611847,1,103,0.49455658617512,3
1,3245399,250428,0.53045779466629,0.497638612985611,1,105,0.532664912679425,3
1,3246919,808757,0.610802292823792,0.677263796329498,1,107,0.450933813481614,3
1,3269184,795092,0.388166725635529,0.320653557777405,1,109,0.549689792764089,3
1,3275010,882471,0.518032670021057,0.557575285434723,1,111,0.464540559412676,3
1,3284282,429683,0.534694075584412,0.518824458122253,1,113,0.516490465621162,3
1,3292731,630,0.601316511631012,0.588271200656891,1,115,0.515842116212097,3
1,3306616,672797,0.643530488014221,0.68402498960495,1,117,0.470399837574563,3
1,3314897,538557,0.460077613592148,0.496527552604675,1,119,0.46329514966358,3
1,3329199,496351,0.690280735492706,0.681562542915344,1,121,0.513689018649342,3
1,3335005,708129,0.413060963153839,0.449757277965546,1,123,0.459204312404126,3
1,3394087,101689,0.532152056694031,0.467998564243317,1,125,0.560294473039783,3
1,3396651,672904,0.470638960599899,0.422205805778503,1,127,0.541912116204848,3
1,3466139,148662,0.401873737573624,0.414268046617508,1,129,0.485040713198757,3
1,3483939,706128,0.663177728652954,0.590174078941345,1,131,0.589066657281007,3
1,3502376,465212,0.553875684738159,0.610857129096985,1,133,0.453359434109364,3
1,3528942,850959,0.652042090892792,0.599749982357025,1,135,0.565324305097735,3
1,3535353,538558,0.432890027761459,0.364576399326324,1,137,0.553754399712813,3
1,3576310,598785,0.624615550041199,0.577420890331268,1,139,0.555841212485548,3
1,3655727,198166,0.560218870639801,0.533218383789063,1,141,0.52892196898189,3
1,3670589,729731,0.672479391098023,0.626851141452789,1,143,0.561139473698082,3
1,3684971,165495,0.641141176223755,0.673484444618225,1,145,0.475988110302381,3
1,3686499,775259,0.274851411581039,0.36723467707634,1,147,0.374217671611529,3
1,3722499,413671,0.4675312936306,0.437835335731506,1,149,0.526412152689937,3
1,3723021,575305,0.299947202205658,0.301736384630203,1,151,0.497035189463912,3
1,3734121,183916,0.580743134021759,0.573323845863342,1,153,0.508694284982282,3
1,3746015,355028,0.358758002519608,0.431088268756866,1,155,0.416107359583411,3
1,3756100,635,0.584845125675201,0.672659039497376,1,157,0.434726281320927,3
1,3759091,765958,0.474437355995178,0.496017307043076,1,159,0.478246776129101,3
1,3760789,165111,0.441457659006119,0.505872905254364,1,161,0.436332579211911,3
1,3782661,78270,0.518916368484497,0.52214390039444,1,163,0.496909346343504,3
1,3915242,853290,0.502488970756531,0.525035798549652,1,165,0.478528294779704,3
1,3922325,296016,0.54976224899292,0.527785658836365,1,167,0.523269719109335,3
1,3927450,623344,0.417590409517288,0.402754873037338,1,169,0.512419972813673,3
1,3931187,86021,0.551931500434876,0.537517309188843,1,171,0.515583492671641,3
1,3939005,707381,0.289963066577911,0.37967175245285,1,173,0.38186020517015,3
1,3939693,340985,0.473905801773071,0.447880208492279,1,175,0.523568792208772,3
1,3953927,712925,0.49713870882988,0.50481390953064,1,177,0.492397990075297,3
1,3955487,677062,0.576078236103058,0.6156445145607,1,179,0.467865970115989,3
1,3988267,394239,0.510495126247406,0.472703784704208,1,181,0.535835020664806,3
1,4011601,748662,0.568093717098236,0.592334508895874,1,183,0.479537920352789,3
1,4020416,928668,0.487436801195145,0.439450472593308,1,185,0.542802933778073,3
1,4030544,140606,0.471951812505722,0.488117039203644,1,187,0.483441239088585,3
1,4031878,853617,0.411775082349777,0.442782878875732,1,189,0.464985325759787,3
1,4033101,285108,0.390893578529358,0.471846669912338,1,191,0.414216739732401,3
1,4052788,608644,0.466698855161667,0.335711687803268,1,193,0.598592105982745,3
1,4071203,244436,0.430466085672379,0.439692825078964,1,195,0.489507743951782,3
1,4073976,496356,0.432921469211578,0.527651369571686,1,197,0.4102343840811,3
1,4083118,344934,0.468329697847366,0.544991731643677,1,199,0.429666791856548,3
1,4106148,281374,0.553885996341705,0.555044412612915,1,201,0.498956465244145,3
1,4124418,419240,0.62276566028595,0.596695721149445,1,203,0.532320434599412,3
1,4137844,679376,0.564471304416657,0.519446551799774,1,205,0.546846768851113,3
1,4180030,451833,0.537397384643555,0.523151755332947,1,207,0.514937277708293,3
1,4182860,149679,0.518819689750671,0.555160880088806,1,209,0.467269676555451,3
1,4184519,342747,0.471657931804657,0.437080293893814,1,211,0.530712761994088,3
1,4216548,886037,0.419540673494339,0.336531579494476,1,213,0.562556929187839,3
1,4240737,637,0.316264450550079,0.309070825576782,1,215,0.505205761487277,3
1,4267183,652144,0.464909464120865,0.429533869028091,1,217,0.531005867984225,3
1,4267886,857176,0.551155149936676,0.573235869407654,1,219,0.48074028454134,3
1,4268679,435671,0.563681125640869,0.568207800388336,1,221,0.496016708372911,3
1,4271909,233905,0.377044081687927,0.415634721517563,1,223,0.453576255986586,3
1,4276892,642,0.461477428674698,0.51268458366394,1,225,0.45005978663988,3
1,4280378,338388,0.375446677207947,0.39673987030983,1,227,0.473164792984816,3
1,4286878,123958,0.647287964820862,0.686293959617615,1,229,0.471582152042773,3
1,4290090,467096,0.583258032798767,0.587179839611054,1,231,0.496660472186099,3
1,4298188,471097,0.658295035362244,0.622638702392578,1,233,0.547244289750614,3
1,4302761,299632,0.518485486507416,0.510052680969238,1,235,0.508605828841823,3
1,4307935,893874,0.5180783867836,0.50647246837616,1,237,0.511758126612768,3
1,4309356,907161,0.465840399265289,0.571424961090088,1,239,0.407612924693228,3
1,4314014,388440,0.471171200275421,0.513345241546631,1,241,0.458922341284254,3
1,4314684,231934,0.487798571586609,0.516759157180786,1,243,0.471978643056687,3
1,4321865,130720,0.529346168041229,0.513843894004822,1,245,0.515943720386555,3
1,4335130,416403,0.563359320163727,0.506773591041565,1,247,0.557362833877505,3
1,4342968,263535,0.504306554794312,0.539861738681793,1,249,0.467070102083639,3
1,4354372,599095,0.607377409934998,0.554307639598846,1,251,0.559536324886055,3
1,4357928,185392,0.58711588382721,0.636864602565765,1,253,0.460942468353453,3
1,4362320,686033,0.488932967185974,0.47467252612114,1,255,0.513572906209854,3
1,4366395,785682,0.457082062959671,0.451541930437088,1,257,0.505050643640815,3
1,4371294,582777,0.298997193574905,0.318346679210663,1,259,0.469609411846647,3
1,4381492,117221,0.470091313123703,0.396577417850494,1,261,0.560914106836488,3
1,4390198,664274,0.552449107170105,0.542679309844971,1,263,0.510681560593533,3
1,4393548,310837,0.650068879127502,0.626111924648285,1,265,0.532037601702971,3
1,4400296,882999,0.505252242088318,0.492695301771164,1,267,0.512376132490981,3
1,4405372,79960,0.698305726051331,0.674722492694855,1,269,0.53625094392763,3
1,4407623,492053,0.516712248325348,0.592220962047577,1,271,0.436249543193168,3
1,4421596,878823,0.521897256374359,0.506724178791046,1,273,0.515379912141371,3
1,4423270,663466,0.599405765533447,0.526840209960938,1,275,0.576681870585959,3
1,4429404,124408,0.37396451830864,0.356664389371872,1,277,0.513445648469449,3
1,4432571,299814,0.573041141033173,0.548502624034882,1,279,0.527174595362639,3
1,4444653,312120,0.346259593963623,0.4042729139328,1,281,0.428249806047085,3
1,4449167,312814,0.422653913497925,0.426778137683868,1,283,0.495168187142474,3
1,4451315,408883,0.307526916265488,0.505850493907929,1,285,0.303970165067647,3
1,4451949,646305,0.669155418872833,0.644817173480988,1,287,0.53426157400454,3
1,4458652,496360,0.508134245872498,0.50666618347168,1,289,0.501487899624588,3
1,4461905,646,0.440617293119431,0.497642040252686,1,291,0.442705054516395,3
1,4465766,610514,0.509009897708893,0.50911283493042,1,293,0.499898905297152,3
1,4465925,736006,0.333272844552994,0.391606330871582,1,295,0.425520246073706,3
1,4478588,324835,0.455427885055542,0.397934645414352,1,297,0.547746676671636,3
1,4481126,592502,0.473801165819168,0.462655812501907,1,299,0.510370776847103,3
1,4503184,751514,0.415771663188934,0.442557245492935,1,301,0.469737720287275,3
1,4503964,631375,0.463566720485687,0.412545144557953,1,303,0.5434259547394,3
1,4506331,493255,0.441389262676239,0.454476624727249,1,305,0.485601721475924,3
1,4517716,907827,0.423540234565735,0.411968111991882,1,307,0.509839706663742,3
1,4531126,650,0.314058542251587,0.301632016897202,1,309,0.508896832082118,3
1,4546239,359681,0.601789891719818,0.544451117515564,1,311,0.562933722821956,3
1,4553124,746100,0.472640365362167,0.445553213357925,1,313,0.524427188196266,3
1,4557155,427659,0.419804275035858,0.450059026479721,1,315,0.466388018388932,3
1,4565092,695216,0.418885082006454,0.439240634441376,1,317,0.476828700672458,3
1,4568283,679669,0.465310156345367,0.411271542310715,1,319,0.54589434511689,3
1,4573886,496367,0.584865272045136,0.564730763435364,1,321,0.523128798130421,3
1,4582392,149533,0.468427807092667,0.465367823839188,1,323,0.502861764957221,3
1,4587142,706455,0.529527127742767,0.539524734020233,1,325,0.490734802644756,3
1,4587893,776425,0.458922266960144,0.506334245204926,1,327,0.453181145958642,3
1,4590753,335593,0.586145162582398,0.545355916023254,1,329,0.544858437618237,3
1,4597160,62366,0.532099068164825,0.489254623651505,1,331,0.541943056655384,3
1,4606615,795274,0.47723862528801,0.465534538030624,1,333,0.510949339190468,3
1,4617251,314446,0.508676648139954,0.572054207324982,1,335,0.44460528532655,3
1,4623678,858239,0.449427366256714,0.438872784376144,1,337,0.50940480303458,3
1,4623873,617156,0.480992317199707,0.530278146266937,1,339,0.453528323376898,3
1,4630143,608597,0.473165988922119,0.480617374181747,1,341,0.492248110805072,3
1,4636316,673370,0.432013899087906,0.492421746253967,1,343,0.438662490410298,3
1,4639178,748628,0.685263991355896,0.632686316967011,1,345,0.571570536053463,3
1,4647597,623821,0.496873557567596,0.498926639556885,1,347,0.497942501134925,3
1,4653917,693599,0.32862314581871,0.455658614635468,1,349,0.360602362452439,3
1,4674298,726042,0.512508094310761,0.546348869800568,1,351,0.469030067269875,3
1,4697358,857557,0.723938167095184,0.684866368770599,1,353,0.561992428691533,3
1,4758268,230420,0.542781054973602,0.622091591358185,1,355,0.43625493618116,3
1,4767409,176933,0.433180838823319,0.477548241615295,1,357,0.453546679763802,3
1,4781127,418380,0.511444270610809,0.492369711399078,1,359,0.518787845839836,3
1,4782516,626662,0.587264537811279,0.686981558799744,1,361,0.427423800747516,3
1,4856988,903189,0.26868349313736,0.339525878429413,1,363,0.395674542365139,3
1,4883077,481268,0.569391191005707,0.535848200321198,1,365,0.536133642816554,3
1,4884742,336869,0.472872287034988,0.491823971271515,1,367,0.480733265005841,3
1,4894886,360878,0.495940834283829,0.483361124992371,1,369,0.512174567091251,3
1,4896135,682479,0.494726270437241,0.5289306640625,1,371,0.467666467507717,3
1,4902573,243929,0.489864498376846,0.418178856372833,1,373,0.561604534992587,3
1,4921060,735500,0.322390615940094,0.319010376930237,1,375,0.502481857942724,3
1,4931239,732561,0.601743042469025,0.584827125072479,1,377,0.520372137027857,3
1,4937911,886432,0.445501327514648,0.427296996116638,1,379,0.515893343735384,3
1,4939240,774905,0.427275598049164,0.39271491765976,1,381,0.528455071097927,3
1,4951165,697097,0.551315903663635,0.48769548535347,1,383,0.562092384989093,3
1,4955464,600287,0.436777770519257,0.510713875293732,1,385,0.427614944148569,3
1,4964065,105433,0.508713722229004,0.528844475746155,1,387,0.480967227190236,3
1,4965710,190486,0.451794475317001,0.429088920354843,1,389,0.519885368993251,3
1,4994563,761355,0.311118543148041,0.324695318937302,1,391,0.479093052782996,3
1,5011917,806811,0.369824886322022,0.312605649232864,1,393,0.541620386482156,3
1,5020923,812941,0.644736468791962,0.590428113937378,1,395,0.566298929080157,3
1,5027403,62371,0.493258744478226,0.444243431091309,1,397,0.544097826394716,3
1,5040086,804979,0.532953858375549,0.518716990947723,1,399,0.514790536087967,3
1,5041500,120876,0.442392736673355,0.421873778104782,1,401,0.517746088822358,3
1,5045323,694305,0.615794241428375,0.696571528911591,1,403,0.44201795211941,3
1,5051336,89041,0.423617333173752,0.442561268806458,1,405,0.478597386432171,3
1,5073664,87792,0.530486822128296,0.547577440738678,1,407,0.484394336454651,3
1,5083785,496377,0.435048669576645,0.464670121669769,1,409,0.468126364584535,3
1,5092609,360923,0.551507711410523,0.516049563884735,1,411,0.536634069193547,3
1,5095177,449400,0.503089904785156,0.374681115150452,1,413,0.602674645485559,3
1,5097837,384161,0.375426024198532,0.468720406293869,1,415,0.400479709393274,3
1,5100592,306497,0.527162969112396,0.57339471578598,1,417,0.459685932394571,3
1,5109984,909629,0.500501215457916,0.449039608240128,1,419,0.5467017302763,3
1,5114383,871294,0.369171321392059,0.44240790605545,1,421,0.417229570650788,3
1,5121935,695209,0.53143322467804,0.533069550991058,1,423,0.498465184974478,3
1,5122456,310208,0.560185432434082,0.467730283737183,1,425,0.586849905106426,3
1,5130606,290118,0.49521017074585,0.48359626531601,1,427,0.511244985899402,3
1,5146942,496374,0.403038859367371,0.455129593610764,1,429,0.442773734146651,3
1,5150357,595327,0.424259871244431,0.423198699951172,1,431,0.50091987595483,3
1,5156634,496380,0.737638771533966,0.642853438854218,1,433,0.632698089512135,3
1,5164377,449952,0.365626871585846,0.380412518978119,1,435,0.480566297565613,3
1,5195636,264515,0.495246231555939,0.468283444643021,1,437,0.525354473771102,3
1,5197747,669154,0.576622843742371,0.675067365169525,1,439,0.427085409170659,3
1,5203306,244603,0.56148773431778,0.565758764743805,1,441,0.496225396147456,3
1,5210440,711870,0.475984930992127,0.501101791858673,1,443,0.474938364545272,3
1,5217931,729693,0.514296531677246,0.515849232673645,1,445,0.498495005034367,3
1,5218412,364144,0.45494270324707,0.530357420444489,1,447,0.4289019873294,3
1,5220999,658469,0.57224452495575,0.589771091938019,1,449,0.485141212224665,3
1,5226194,62373,0.537214636802673,0.548989057540894,1,451,0.489276270103669,3
1,5233939,657704,0.438761204481125,0.447858214378357,1,453,0.489843872898637,3
1,5234796,853182,0.36377227306366,0.337449789047241,1,455,0.519864520138456,3
1,5238072,834377,0.438190013170242,0.337953120470047,1,457,0.575702262029664,3
1,5241092,666,0.420725345611572,0.50557541847229,1,459,0.416085642457547,3
1,5257031,159146,0.446642696857452,0.418679356575012,1,461,0.524051563107829,3
1,5264494,922437,0.554860770702362,0.478697299957275,1,463,0.573051099427305,3
1,5268607,408598,0.43725922703743,0.468790948390961,1,465,0.466369101769395,3
1,5269037,184820,0.432649701833725,0.466584742069244,1,467,0.463634644282385,3
1,5271439,357400,0.471374541521072,0.53914350271225,1,469,0.437151277118008,3
1,5273913,823726,0.470271587371826,0.458781540393829,1,471,0.510614980673754,3
1,5286457,252851,0.393122375011444,0.422301203012466,1,473,0.465452587166605,3
1,5290138,246969,0.521109104156494,0.533667862415314,1,475,0.488233544547745,3
1,5303445,855668,0.707475602626801,0.662631928920746,1,477,0.566461051815896,3
1,5311293,493366,0.464147865772247,0.485157489776611,1,479,0.478347624794953,3
1,5389802,670441,0.446895062923431,0.501583456993103,1,481,0.445484252613196,3
1,5397846,467028,0.418536454439163,0.399801403284073,1,483,0.51560737667299,3
1,5398185,110211,0.459214359521866,0.443666368722916,1,485,0.513973621155402,3
1,5414630,740975,0.739532172679901,0.683804750442505,1,487,0.588121852424072,3
1,5467246,411699,0.472643166780472,0.488927185535431,1,489,0.483347194391404,3
1,5478006,687489,0.640884459018707,0.697769641876221,1,491,0.459237849109804,3
1,5484150,554752,0.451602846384049,0.457491338253021,1,493,0.493564367916277,3
1,5515386,332621,0.53182727098465,0.547560214996338,1,495,0.485633594643291,3
1,5518725,132850,0.471305787563324,0.435320913791657,1,497,0.531863118938312,3
1,5526603,688800,0.372596263885498,0.372694194316864,1,499,0.499868618249413,3
1,5535543,496382,0.441039800643921,0.409129023551941,1,501,0.527003168512191,3
1,5554132,245911,0.561046600341797,0.485715717077255,1,503,0.573238562567406,3
1,5564169,62374,0.30942490696907,0.332035422325134,1,505,0.465951651788038,3
1,5565098,717395,0.543432354927063,0.55033802986145,1,507,0.493725969713445,3
1,5568030,696296,0.603415369987488,0.606713712215424,1,509,0.497281796866028,3
1,5568589,314398,0.40854087471962,0.394640326499939,1,511,0.511481230769231,3
1,5568944,911574,0.464082539081574,0.517198383808136,1,513,0.448650415015347,3
1,5580854,254508,0.455599844455719,0.481245428323746,1,515,0.473354984423068,3
1,5597021,820003,0.469880640506744,0.462973803281784,1,517,0.506430633428284,3
1,5606284,159358,0.455724567174912,0.476455897092819,1,519,0.478244229902071,3
1,5612723,600087,0.365407735109329,0.33922490477562,1,521,0.519812210329158,3
1,5629147,674,0.46574467420578,0.440824806690216,1,523,0.522282701212175,3
1,5629749,676,0.532701075077057,0.650704324245453,1,525,0.409326521454095,3
1,5630102,789658,0.514632940292358,0.531606674194336,1,527,0.484035439427372,3
1,5646150,773096,0.760968148708344,0.685119211673737,1,529,0.620440718911082,3
1,5672600,559309,0.437571913003922,0.523126602172852,1,531,0.418227548729532,3
1,5673607,125378,0.526287078857422,0.550167739391327,1,533,0.478296927623996,3
1,5687466,464000,0.583989977836609,0.581159591674805,1,535,0.50337883607401,3
1,5690392,886343,0.698436319828033,0.636943638324738,1,537,0.584687514108758,3
1,5697261,496388,0.373191356658936,0.419006556272507,1,539,0.445328779552826,3
1,5705308,372566,0.381882876157761,0.415091842412949,1,541,0.459998049995222,3
1,5713085,402916,0.488824456930161,0.430705636739731,1,543,0.551044612366783,3
1,5715140,925545,0.578470587730408,0.535272896289825,1,545,0.546476406363768,3
1,5783692,931013,0.475061446428299,0.426514744758606,1,547,0.542326024275252,3
1,5803053,276142,0.447556644678116,0.413355678319931,1,549,0.529149661127068,3
1,5819594,665166,0.605657517910004,0.613049685955048,1,551,0.493970987821707,3
1,5821316,798708,0.528243601322174,0.49870228767395,1,553,0.529464839876439,3
1,5824637,797910,0.54598206281662,0.529282450675964,1,555,0.51773846350602,3
1,5825348,338028,0.494525790214539,0.474539160728455,1,557,0.519018191264064,3
1,5827305,672538,0.438345104455948,0.462389558553696,1,559,0.473999786918896,3
1,5828924,782727,0.457170754671097,0.44880884885788,1,561,0.507585304840154,3
1,5831320,399999,0.613455891609192,0.643762767314911,1,563,0.476461145903073,3
1,5836208,326295,0.469563513994217,0.493409693241119,1,565,0.475835315384401,3
1,5848388,144699,0.532330632209778,0.449129223823547,1,567,0.575518081539671,3
1,5857087,596413,0.432073265314102,0.449645727872849,1,569,0.480459658049153,3
1,5866725,324779,0.432880014181137,0.478036761283875,1,571,0.452768541292244,3
1,5871264,399112,0.605121552944183,0.569863617420197,1,573,0.540984600410366,3
1,5884457,888231,0.424277096986771,0.470739156007767,1,575,0.450649889192318,3
1,5889651,591919,0.368669033050537,0.366982012987137,1,577,0.50133252142752,3
1,5934188,420644,0.443415373563767,0.466247528791428,1,579,0.475514985262394,3
1,5956787,443005,0.51144403219223,0.520426034927368,1,581,0.491370529016298,3
1,5963955,538563,0.649934411048889,0.622217953205109,1,583,0.536683132614331,3
1,5981816,691685,0.42605659365654,0.340462386608124,1,585,0.564889556949013,3
1,5984235,795128,0.562471389770508,0.541318833827972,1,587,0.523058016660098,3
1,6002217,185055,0.579298734664917,0.571755707263947,1,589,0.508806921106617,3
1,6023694,706491,0.7316535115242,0.699715077877045,1,591,0.553180215345741,3
1,6026589,736434,0.534589767456055,0.534425735473633,1,593,0.500176160920953,3
1,6035240,125155,0.525782883167267,0.542383134365082,1,595,0.484696932715978,3
1,6047671,281406,0.467972308397293,0.532066226005554,1,597,0.43976885350397,3
1,6059990,104101,0.288098990917206,0.308538883924484,1,599,0.466876309482793,3
1,6076112,657610,0.414967060089111,0.556371331214905,1,601,0.372922755727708,3
1,6099789,109807,0.211294814944267,0.302222400903702,1,603,0.349568420991389,3
1,6129804,353522,0.414407670497894,0.512414216995239,1,605,0.40436785002566,3
1,6140446,793151,0.640281856060028,0.618480682373047,1,607,0.52857152007739,3
1,6145470,615368,0.598825514316559,0.575348675251007,1,609,0.527642488904784,3
1,6201001,750886,0.35593792796135,0.365126669406891,1,611,0.487417049731717,3
1,6266740,683,0.498969614505768,0.522186815738678,1,613,0.477769257540458,3
1,6338918,887134,0.625010132789612,0.613190472126007,1,615,0.515278399072237,3
1,6494666,444964,0.584823191165924,0.637628793716431,1,617,0.458592206726795,3
1,6503870,925006,0.245974883437157,0.300118952989578,1,619,0.409795651002585,2
1,6508126,620260,0.45325031876564,0.56045126914978,1,621,0.404361934493639,2
1,6516119,646825,0.711355686187744,0.523078978061676,1,623,0.697387721934405,2
1,6567310,335586,0.296169728040695,0.414598643779755,1,625,0.357176431332019,2
1,6582459,855766,0.312480747699738,0.417396992444992,1,627,0.37432079453821,2
1,6627943,358398,0.555486083030701,0.422838121652603,1,629,0.614914001040672,2
1,6664868,685,0.26972046494484,0.472185164690018,1,631,0.28560878773257,2
1,6689323,245035,0.4803386926651,0.413516819477081,1,633,0.556968277528811,2
1,6694156,403503,0.383746713399887,0.483271479606628,1,635,0.397030167921608,2
1,6715827,893459,0.397198408842087,0.48297318816185,1,637,0.411201303279159,2
1,6752169,256913,0.370273679494858,0.306539446115494,1,639,0.545953755424406,2
1,6844165,305290,0.533350169658661,0.493424445390701,1,641,0.539407472295769,2
1,6890999,912316,0.523652136325836,0.444139808416367,1,643,0.571521876465862,2
1,6913450,325105,0.581358432769775,0.446556597948074,1,645,0.621784661558811,2
1,6936228,849370,0.27685159444809,0.308567643165588,1,647,0.448607623935996,2
1,6951849,282760,0.437271654605866,0.35811385512352,1,649,0.561660311656655,2
1,6963762,445819,0.634941101074219,0.514910340309143,1,651,0.623720180761604,2
1,6984017,686177,0.385441154241562,0.49349045753479,1,653,0.390525438087513,2
1,6992395,277904,0.502850115299225,0.456618547439575,1,655,0.542540620076197,2
1,7000951,562922,0.539726734161377,0.505677819252014,1,657,0.534440003135042,2
1,7008097,176013,0.438923180103302,0.612464189529419,1,659,0.35832558670944,2
1,7011442,145453,0.703301012516022,0.521665513515472,1,661,0.689862433226864,2
1,7025531,813439,0.510391354560852,0.455675601959229,1,663,0.550260242604012,2
1,7030252,815416,0.567650854587555,0.494349390268326,1,665,0.572482325649846,2
1,7037009,213221,0.626726865768433,0.522698163986206,1,667,0.608975803079899,2
1,7042076,795784,0.42962858080864,0.443822205066681,1,669,0.484009785792591,2
1,7067480,268334,0.279041081666946,0.363964319229126,1,671,0.383335765244727,2
1,7071994,648032,0.439826667308807,0.453852415084839,1,673,0.484548118165891,2
1,7073164,231014,0.307712137699127,0.485910832881928,1,675,0.316634366715075,2
1,7081148,705570,0.637479901313782,0.50601077079773,1,677,0.633068822905672,2
1,7096482,784443,0.52287745475769,0.605160236358643,1,679,0.43201570703318,2
1,7158215,693666,0.475337594747543,0.315429151058197,1,681,0.616794663354808,2
1,7161250,723483,0.418187975883484,0.394717037677765,1,683,0.519388401513624,2
1,7237672,927044,0.5839062333107,0.508182644844055,1,685,0.576983444842684,2
1,7238701,149388,0.425738573074341,0.540807008743286,1,687,0.393614141635906,2
1,7239255,678643,0.413299530744553,0.537889659404755,1,689,0.384186164874338,2
1,7242634,491415,0.493696063756943,0.613735318183899,1,691,0.402206007320742,2
1,7247055,727619,0.393352031707764,0.398080766201019,1,693,0.494060584063904,2
1,7259565,852971,0.314843416213989,0.481710255146027,1,695,0.326797502077828,2
1,7274021,878821,0.337283045053482,0.417352437973022,1,697,0.404074607412841,2
1,7283925,402637,0.743398606777191,0.650197148323059,1,699,0.63321998092258,2
1,7315181,359036,0.448537081480026,0.542738080024719,1,701,0.413216888576897,2
1,7316360,695420,0.521409034729004,0.416561514139175,1,703,0.589853106309171,2
1,7322216,562605,0.487915724515915,0.566782832145691,1,705,0.430425638219134,2
1,7328701,252502,0.706485390663147,0.468414753675461,1,707,0.723925173463469,2
1,7331005,680258,0.542135059833527,0.458856642246246,1,709,0.576946724369826,2
1,7334675,239336,0.379459500312805,0.524981319904327,1,711,0.361402859421701,2
1,7340054,610832,0.699799299240112,0.684887647628784,1,713,0.523660849057674,2
