"ID","interval","rate","step_km","lower","upper","angle","distance_open_forest","raw_habitat_code","distance_water"
"elk-115",137,2.09,2.4385356774097,2.085,2.095,-0.25,1261.2,16,0.20616
"elk-115",138,3.25,3.25285474621908,3.245,3.255,2.95,3020.97,13,0.30923
"elk-115",139,0.71,0.831472188350278,0.705,0.715,2.16,305.16,14,0.10308
"elk-115",140,0.47,0.315174951415876,0.465,0.475,2.02,1001.25,16,0.65
"elk-115",141,0.21,0.246617112139446,0.205,0.215,-1.07,1019.8,16,0.40697
"elk-115",142,0.13,0.110146493362249,0.125,0.135,0.42,1250,16,0.16771
"elk-115",143,1.03,1.19907599842545,1.025,1.035,0.8,1328.53,19,0.0559
"elk-115",144,1.45,1.20526770885144,1.445,1.455,-3.12,1075,16,0.27951
"elk-115",145,0.01,0.00894427190999916,0.005,0.015,2.47,1352.08,13,0.05
"elk-115",146,0.64,0.534731007142844,0.635,0.645,3.02,1375.68,13,0.0559
"elk-115",147,0.46,0.459230062169279,0.455,0.465,-2.84,1007.78,17,0.58149
"elk-115",148,0.17,0.173897239771079,0.165,0.175,-1.41,1202.6,19,0.16771
"elk-115",149,0.36,0.363691146441593,0.355,0.365,2.72,1367.71,13,0.07906
"elk-115",150,0.17,0.170103644875705,0.165,0.175,-1.78,1144.83,16,0.22638
"elk-115",151,0.22,0.220216370871922,0.215,0.225,-1.79,1296.63,14,0.14577
"elk-115",152,1.43,1.66708638048543,1.425,1.435,-1.77,1342.8,16,0.025
"elk-115",153,1.46,1.46360821260336,1.455,1.465,-3.05,145.77,17,0.51539
"elk-115",154,0.28,0.235461780338126,0.275,0.285,-2.94,1131.92,16,0.23049
"elk-115",155,0.44,0.443444754168995,0.435,0.445,-1.88,905.88,16,0.375
"elk-115",156,0.4,0.399819021558505,0.395,0.405,-2.55,877.85,14,0.39131
"elk-115",157,0.13,0.128140547837131,0.125,0.135,-0.38,1123.61,16,0.25125
"elk-115",158,0.55,0.551337464716484,0.545,0.555,-0.3,1140.45,16,0.2136
"elk-115",159,1.13,1.32158512779162,1.125,1.135,-1.86,1209.34,16,0.50249
"elk-115",160,1.75,1.46054955410626,1.745,1.755,-2.75,0,20,0.39131
"elk-115",161,0.8,0.798936324121015,0.795,0.805,-2.48,1342.8,16,0.025
"elk-115",162,0.61,0.808490105072412,0.605,0.615,-3.11,850,16,0.71063
"elk-115",163,1.14,0.761331071216721,1.135,1.145,1.07,1330.65,16,0.025
"elk-115",164,0.51,0.505920201217544,0.505,0.515,-0.52,929.05,17,0.63097
"elk-115",165,0.6,0.595278926218626,0.595,0.605,3.02,803.51,16,0.13463
"elk-115",166,0.35,0.411830062040158,0.345,0.355,-2.84,900.35,17,0.65431
"elk-115",167,0.2,0.197866748090729,0.195,0.205,2.99,679.15,19,0.31325
"elk-115",168,0.09,0.0878179936004006,0.085,0.095,2,752.08,19,0.45069
"elk-115",169,0.91,0.762764708150554,0.905,0.915,-1.73,807,17,0.47566
"elk-115",170,0.83,0.966005305368454,0.825,0.835,-3.09,1158.12,16,0.225
"elk-115",171,0.77,0.645914080973623,0.765,0.775,2.84,654.31,19,0.29155
"elk-115",172,0.08,0.0809459696340713,0.075,0.085,1.92,886,17,0.44721
"elk-115",173,0.68,0.68147046891263,0.675,0.685,1.29,946.37,17,0.52738
"elk-115",174,0.48,0.55518938210308,0.475,0.485,2.99,675,17,0.25
"elk-115",175,1.29,1.28779161745991,1.285,1.295,-0.64,831.04,16,0.57064
"elk-115",176,1.58,1.31677722109702,1.575,1.585,2.33,0,20,0.36912
"elk-115",177,1.13,1.13120743013826,1.125,1.135,3.02,1237.44,17,0.32882
"elk-115",178,0.38,0.438872418818955,0.375,0.385,0.51,125,17,0.15
"elk-115",179,0.78,0.651143033441962,0.775,0.785,2.13,125,17,0.52559
"elk-115",180,0.31,0.367077988988716,0.305,0.315,3.02,371.65,17,0.71981
"elk-115",181,1.59,1.32032656945166,1.585,1.595,-1.97,0,20,0.48088
"elk-115",182,1.21,1.21335773784981,1.205,1.215,-2.84,1185.33,17,0.16771
"elk-115",183,1.22,1.2195085075554,1.215,1.225,-3.05,395.28,17,0.72887
"elk-115",184,0.94,0.940662665358842,0.935,0.945,2.75,1158.12,16,0.225
"elk-115",185,0.01,0.660328138125281,0.005,0.015,-0.7,226.38,17,0.23585
"elk-115",186,0,0.0778331548891602,0,0.005,-0.64,134.63,13,0.5534
"elk-115",187,0.01,0.00806225774829855,0.005,0.015,-2.91,160.08,13,0.51539
"elk-115",188,0.01,0.00707106781186548,0.005,0.015,-2.48,141.42,13,0.52202
"elk-115",189,0,0.00223606797749979,0,0.005,0.32,160.08,13,0.51539
"elk-115",190,0,0.00403112887414927,0,0.005,1.23,160.08,13,0.51539
"elk-115",191,0,0.00403112887414927,0,0.005,3.14,160.08,13,0.51539
"elk-115",192,0,0.001,0,0.005,-1.7,160.08,13,0.51539
"elk-115",193,0.01,0.00602079728939615,0.005,0.015,2.41,160.08,13,0.51539
"elk-163",1,5.87,5.87319402029254,5.865,5.875,NA,0,20,0.025
"elk-163",2,1.22,1.22062688811938,1.215,1.225,-2.21,4011.23,17,0.2136
"elk-163",3,0.52,0.524461628720348,0.515,0.525,-2.74,2848.79,13,0.18028
"elk-163",4,0.17,0.173072239252862,0.165,0.175,-2.56,3259.6,16,0.1118
"elk-163",5,0.89,0.887590558760063,0.885,0.895,-1.84,3200.1,16,0.125
"elk-163",6,1.51,1.63495328679446,1.505,1.515,-3.07,2479.54,13,0.09014
"elk-163",7,0.55,0.507640867149208,0.545,0.555,-3.1,3922.37,17,0.03536
"elk-163",8,14.61,14.6111368910841,14.605,14.615,-2.95,3436.57,16,0.10607
"elk-163",9,2.66,2.87843451375917,2.655,2.665,0.01,989,16,0.26926
"elk-163",10,11.12,10.1893057295382,11.115,11.125,-0.15,195.26,17,0.49812
"elk-163",11,1.4,1.39558706285205,1.395,1.405,-0.9,1311.73,19,0.35355
"elk-163",12,0,0.003,0,0.005,3.03,257.39,13,0.46971
"elk-163",13,0.09,0.0911660572801084,0.085,0.095,-0.12,279.51,13,0.44721
"elk-163",14,13.84,14.9949192728737,13.835,13.845,-1.96,340.04,13,0.39528
"elk-163",15,0.16,0.15054567413247,0.155,0.165,-2.97,257.39,13,0.55
"elk-163",16,0.05,0.0486004115208915,0.045,0.055,1.27,388.1,13,0.525
"elk-163",17,0.21,0.217536778499637,0.205,0.215,-2.52,403.11,13,0.50062
"elk-163",18,0.33,0.34557922391255,0.325,0.335,-2.14,378.32,13,0.41231
"elk-163",19,0.28,0.282818404634493,0.275,0.285,-2.63,145.77,13,0.48541
"elk-163",20,0.17,0.153887133965124,0.165,0.175,-1.67,403.11,13,0.49244
"elk-163",21,1.93,1.93343450884689,1.925,1.935,-2.07,328.82,13,0.4272
"elk-163",22,0.37,0.401421536542324,0.365,0.375,2.48,638.85,16,0.26926
"elk-163",23,19.71,19.7103712610899,19.705,19.715,-2.09,269.26,13,0.20616
"elk-163",24,5.74,5.25859727018527,5.735,5.745,-3.09,12733.05,11,0.325
"elk-163",25,1.03,1.02632012549691,1.025,1.035,-3.04,7467.97,16,0.03536
"elk-163",26,0.43,0.46083836645835,0.425,0.435,-1.18,8486.94,16,0.25
"elk-163",27,0.14,0.132341414530751,0.135,0.145,0.75,8725.32,13,0.12748
"elk-163",28,4.75,4.75113073383589,4.745,4.755,0.4,8864.68,19,0.2136
"elk-163",29,0.82,0.888775140291401,0.815,0.825,0.67,13566.8,16,0.0559
"elk-163",30,3.31,3.03808364763053,3.305,3.315,2.6,14223.51,16,0.125
"elk-163",31,4.53,4.53421349298861,4.525,4.535,-3.11,11262.02,13,0.28504
"elk-163",32,12.77,12.7628752246506,12.765,12.775,0.24,15687.46,17,0.55509
"elk-163",33,8.17,8.17101874003481,8.165,8.175,-0.23,8063.07,17,0.57717
"elk-163",34,0.09,0.0854180894190452,0.085,0.095,1.79,7794.63,16,0.09014
"elk-163",35,0.7,0.816340155817414,0.695,0.705,1.1,7717.51,16,0.025
"elk-163",36,0.78,0.710302752352826,0.775,0.785,3.07,7200.17,17,0.41908
"elk-163",37,0.23,0.21411970950849,0.225,0.235,0.92,7675.04,16,0.07071
"elk-163",38,4.91,4.90624329298905,4.905,4.915,2.51,7658.49,1,0
"elk-163",39,0.03,0.0252388589282479,0.025,0.035,-0.93,6651.36,17,0.37165
"elk-163",40,0.02,0.0219544984001002,0.015,0.025,-2.68,6629.72,17,0.375
"elk-163",41,0.18,0.175685087585714,0.175,0.185,-1.35,6626.56,17,0.38161
"elk-163",42,4.82,4.81867266474908,4.815,4.825,1.82,6806.48,17,0.23585
"elk-163",43,4.77,4.77225892528895,4.765,4.775,3.11,7721.92,16,0.0559
"elk-163",44,0.08,0.0796303962064738,0.075,0.085,1.04,6651.36,17,0.37165
"elk-163",45,0.1,0.101118742080783,0.095,0.105,-3.02,6732.11,17,0.28284
"elk-163",46,9.93,10.7540878274264,9.925,9.935,-1.39,6626.56,17,0.38161
"elk-163",47,11.73,10.7538811249706,11.725,11.735,-3.13,10273.78,17,0.61897
"elk-163",48,0.02,0.0223439029715043,0.015,0.025,-0.41,6803.31,17,0.25739
"elk-163",49,0.09,0.0925418824100742,0.085,0.095,-0.76,6781.69,17,0.25
"elk-163",50,6.84,6.84700116839482,6.835,6.845,1.65,6685.85,17,0.30516
"elk-163",51,0.03,0.0269258240356725,0.025,0.035,-2.02,10222.34,17,0.07906
"elk-163",52,0.03,0.0300832179129826,0.025,0.035,-2.61,10189.46,17,0.05
"elk-163",53,0.06,0.0626996810199223,0.055,0.065,0.74,10212.4,17,0.0559
"elk-163",54,0.11,0.109772492000501,0.105,0.115,2.54,10215.67,17,0.03536
"elk-163",55,0.29,0.288340076992429,0.285,0.295,-0.35,10143.59,17,0.025
"elk-163",56,0.01,0.00948683298050514,0.005,0.015,0.27,9902.34,16,0.075
"elk-163",57,0.01,0.0113137084989848,0.005,0.015,-2.68,9902.34,16,0.075
"elk-163",58,0.25,0.252578700606365,0.245,0.255,-0.42,9902.34,16,0.075
"elk-163",59,0.42,0.416143304643965,0.415,0.425,2.24,10067.93,11,0.025
"elk-163",60,0.45,0.450124427242068,0.445,0.455,0.7,9644.49,19,0.35355
"elk-163",61,0.19,0.186324984905407,0.185,0.195,0.24,9306.58,17,0.67315
"elk-163",62,0.61,0.609741748611656,0.605,0.615,2.94,9180.21,14,0.83104
"elk-163",63,0.24,0.242848203616992,0.235,0.245,2.88,9631.33,16,0.35532
"elk-163",64,0,0.00223606797749979,0,0.005,0.52,9435.11,17,0.53677
"elk-163",65,5.54,6.45699823834574,5.535,5.545,-1.97,9435.11,17,0.53677
"elk-163",66,0.11,0.0885225959854319,0.105,0.115,-2.58,6806.48,17,0.23585
"elk-163",67,9.8,10.6241282465904,9.795,9.805,2.21,6887.4,17,0.15811
"elk-163",68,12.79,11.7235402502828,12.785,12.795,-0.06,10577.39,17,0.62099
"elk-163",69,0.04,0.0406109591120426,0.035,0.045,2.01,6195.21,17,0.56679
"elk-163",70,0.04,0.0403112887414927,0.035,0.045,2.02,6145.37,17,0.53033
"elk-163",71,0.17,0.165717379897221,0.165,0.175,1.99,6168.32,17,0.53151
"elk-163",72,0.05,0.0532658427136941,0.045,0.055,1.19,6281.17,19,0.70711
"elk-163",73,0.13,0.125495019821505,0.125,0.135,1.72,6233.98,19,0.69147
"elk-163",74,0.1,0.098488578017961,0.095,0.105,-2.79,6151.93,17,0.58577
"elk-163",75,0.1,0.101800049115902,0.095,0.105,2.72,6209.12,19,0.67546
"elk-163",76,0.11,0.10643425200564,0.105,0.115,-3.02,6129.44,17,0.59002
"elk-163",77,0.15,0.179067026557097,0.145,0.155,-2.15,6186.93,19,0.68007
"elk-163",78,0.21,0.172320196146592,0.205,0.215,2.9,6220.13,17,0.58577
"elk-163",79,0.14,0.140375389580938,0.135,0.145,2.59,6236.64,19,0.71063
"elk-163",80,0.01,0.0095524865872714,0.005,0.015,-1.78,6149.64,17,0.56679
"elk-163",81,0.05,0.0440454310910905,0.045,0.055,-1.63,6149.64,17,0.56679
"elk-163",82,0.17,0.174889250670246,0.165,0.175,-2.78,6176.82,17,0.60208
"elk-163",83,0.12,0.1171537451386,0.115,0.125,2.32,6089.85,16,0.4423
"elk-163",84,0.2,0.196063765137773,0.195,0.205,1.36,6216.31,17,0.55509
"elk-163",85,0.11,0.112611056295552,0.105,0.115,2.43,6209.12,19,0.67546
"elk-163",86,0.05,0.0481040538832228,0.045,0.055,1.44,6127.04,17,0.57009
"elk-163",87,0.07,0.0720503296314458,0.065,0.075,-2.59,6172.37,17,0.56569
"elk-163",88,0.1,0.0961002081163199,0.095,0.105,1.99,6099.85,17,0.53502
"elk-163",89,0.02,0.0174928556845359,0.015,0.025,-2.26,6116.58,16,0.47762
"elk-163",90,2.9,2.89720076107956,2.895,2.905,3.04,6091.64,16,0.45962
"elk-163",91,0.07,0.0714002801114954,0.065,0.075,0,8589.42,16,0.42426
"elk-163",92,0.33,0.332777703580033,0.325,0.335,0.5,8645.27,16,0.49497
"elk-163",93,0.03,0.0252388589282479,0.025,0.035,-2.01,8970.82,16,0.76322
"elk-163",94,2.54,4.46996756140355,2.535,2.545,2.22,8973.99,13,0.77661
"elk-163",95,0.21,0.0665676347784717,0.205,0.215,3.03,13335.34,26,0.8489
"elk-163",96,1.29,1.18324564229073,1.285,1.295,-2,13285.38,14,0.80039
"elk-163",97,0.01,0.00824621125123532,0.005,0.015,0.23,13734.1,26,1.59765
"elk-163",98,4.39,4.38885238416605,4.385,4.395,-0.9,13735.04,19,1.57421
"elk-163",99,0.65,0.649935573730197,0.645,0.655,0.51,17791.01,16,0.21213
"elk-163",100,0.29,0.286183944343494,0.285,0.295,-0.83,18199.67,14,0.15811
"elk-163",101,0.04,0.0409298179815156,0.035,0.045,1.02,18508.14,25,0.2
"elk-163",102,3.57,3.57065176123351,3.565,3.575,-2,18512.51,25,0.175
"elk-163",103,0.41,0.412681475232412,0.405,0.415,1.49,20736.82,26,1.87567
"elk-163",104,0.01,0.014142135623731,0.005,0.015,-0.77,21072.57,26,1.54536
"elk-163",105,0.03,0.0304795013082563,0.025,0.035,-2.14,21097.54,26,1.54151
"elk-163",106,1.36,1.35854333754945,1.355,1.365,1.96,21071.43,26,1.57003
"elk-163",107,0.09,0.0916787870774914,0.085,0.095,-2.13,22358.05,25,0.72672
"elk-163",108,0.96,0.958801335001156,0.955,0.965,-1.09,22306.18,25,0.775
"elk-163",109,0.29,0.291238733687674,0.285,0.295,0,21416.88,25,1.62788
"elk-163",110,0.26,0.308506482914055,0.255,0.265,-2.98,21120.27,25,1.58765
"elk-163",111,2.52,2.51946725519503,2.515,2.525,2.77,21442.86,25,1.59883
"elk-163",112,1.47,2.21157907387459,1.465,1.475,3.08,19372.48,14,1.17925
"elk-163",113,0.09,0.0441021541423999,0.085,0.095,2.82,21095.29,25,1.59099
"elk-163",114,0.31,0.310400144974193,0.305,0.315,1.64,21072.57,26,1.54536
"elk-163",115,12.43,12.4358314659696,12.425,12.435,2.85,20838.5,14,1.81332
"elk-163",116,0.05,0.0471274866717927,0.045,0.055,-2.22,32682.38,25,2.00156
"elk-163",117,0.04,0.0378846934790292,0.035,0.045,-2.45,32673.43,26,1.95224
"elk-163",118,0.04,0.0407062648740952,0.035,0.045,2.26,32657.79,25,1.99765
"elk-163",119,0.01,0.00813941029804985,0.005,0.015,0.67,32648.83,25,1.94824
"elk-163",120,0.02,0.031148836254345,0.015,0.025,-1.43,32648.83,25,1.94824
"elk-163",121,0.13,0.0956151138680491,0.125,0.135,-2.84,32619.78,25,1.9198
"elk-163",122,0.05,0.0622113333726259,0.045,0.055,-1.83,32706.97,25,2.00577
"elk-163",123,0.08,0.0587388287251287,0.075,0.085,-2.15,32722.63,25,1.96119
"elk-163",124,0.02,0.0191637678967368,0.015,0.025,-2.67,32648.83,26,1.94824
"elk-163",125,0.1,0.101607086367044,0.095,0.105,3.06,32673.43,26,1.95224
