"interval","phase","probability_mobile","distance_water"
108,"localized",7.80092121032851e-08,1.63783
109,"localized",6.0964128579575e-09,2.14782
110,"localized",4.2042149812393e-08,1.9693
111,"localized",2.1264510977915e-08,1.9484
112,"localized",1.44628545306957e-08,2.18303
113,"localized",6.95477803231716e-09,2.14257
114,"localized",2.47444344523372e-08,2.13029
115,"localized",1.42172440288587e-08,2.14782
116,"localized",4.05884535800431e-09,1.9211
117,"localized",2.21377639244897e-08,1.70606
118,"localized",8.47575668783904e-09,1.86564
119,"localized",1.3768802094139e-08,2.14782
120,"localized",3.35169191752417e-09,1.99703
121,"localized",1.00510619350513e-08,2.17054
122,"localized",8.02837521697265e-09,1.99076
123,"localized",9.20204086478678e-08,2.12867
124,"localized",1.05075272547158e-06,2.15711
125,"localized",1.00686300014618e-06,2.33693
126,"localized",1.91955735104818e-07,2.15058
127,"localized",3.39269266671253e-07,2.48118
128,"localized",7.7330430428881e-08,2.49762
129,"localized",3.72145250495617e-08,2.49762
130,"localized",1.4120406266863e-08,2.47588
131,"localized",4.05840930573401e-09,2.23005
132,"localized",1.23302985509335e-07,2.31625
133,"localized",2.23063832472869e-08,2.14782
134,"localized",1.17919062298048e-09,2.45777
135,"localized",4.49542644496485e-09,2.28158
136,"localized",1.57039399966495e-09,2.46031
137,"localized",3.96295949211933e-09,1.99703
138,"localized",1.5409133993445e-07,1.77095
139,"localized",5.50305929183756e-09,2.31638
140,"localized",9.65861123155796e-10,1.95592
141,"localized",2.17713375491151e-09,2.06897
142,"localized",5.09814338859663e-09,1.9851
143,"localized",3.14698394509947e-08,2.45726
144,"localized",4.95908516784416e-07,2.1773
145,"localized",3.7178427928259e-07,2.18546
146,"localized",5.79593425968219e-08,2.45726
147,"localized",1.09085189775087e-07,2.49261
148,"localized",4.90021267146315e-09,2.36907
149,"localized",8.04793977153608e-09,2.18546
150,"localized",6.25672804156256e-07,2.17097
151,"localized",6.3456369205634e-07,1.9276
152,"localized",4.64766955690106e-07,2.19146
153,"localized",5.11103286069181e-07,2.02485
154,"localized",8.74347804361154e-08,1.81676
155,"localized",4.04020253234522e-07,1.70606
156,"localized",5.1439621397359e-07,1.76918
157,"localized",4.07827262142303e-07,1.69853
158,"localized",1.70295990731451e-07,1.64336
159,"localized",2.76605125979572e-07,2.1773
160,"localized",1.77383305271261e-08,2.31638
161,"localized",2.24583606146655e-07,1.96294
162,"localized",2.82138058138796e-07,1.73385
163,"localized",8.7801848293518e-06,2.02485
