cell_line,chromosome,start,end,copy_ratio,p_value,normal_count,tumor_count
HCC1954,5,176461624,176621371,3.327,1.25e-24,750,3224
HCC1954,5,176621464,176815049,2.132,6.26e-19,1707,4702
HCC1954,5,176815293,179159307,0.793,1.44e-177,11485,11774
HCC1954,5,179159530,179207783,0.55,2.51e-07,404,287
HCC1954,5,179208098,179314183,0.921,2.73e-09,741,882
HCC1954,5,179314359,179459904,2.03,0.0,972,2550
HCC1954,5,179459944,179948527,2.894,0.0,3014,11273
HCC1954,5,179948943,180384245,2.43,9.07e-06,1130,3548
HCC1954,5,180384363,180857865,5.485,0.0,1733,12282
HCC1954,6,1,8125748,1.076,1.0,50091,69657
HCC1954,6,8125864,26718838,1.116,3.24e-07,96241,138839
HCC1954,6,26718895,32325831,0.991,6.71e-41,27834,35641
HCC1954,6,32326577,33723623,1.36,0.0,6132,10774
HCC1954,6,33723741,34634560,0.994,1.39e-45,7676,9857
HCC1954,6,34634722,34677684,0.595,1.46e-14,425,327
HCC1954,6,34677700,34938220,1.068,2.49e-14,1127,1556
HCC1954,6,34939060,35190764,0.609,1.12e-25,1754,1380
HCC1954,6,35191158,44013379,1.054,0.0,59892,81596
HCC1954,6,44013404,48050627,1.166,0.0,23637,35618
HCC1954,6,48050768,48886188,1.735,0.0,3296,7389
HCC1954,6,48886231,49060870,1.369,3.88e-06,668,1182
HCC1954,6,49061301,49197721,2.032,2.87e-07,396,1040
HCC1954,6,49197998,52469163,1.509,1.8e-06,14876,29008
HCC1954,6,52469293,58819390,1.373,4.13e-13,23151,41068
HCC1954,6,58819874,64013080,1.098,3.51e-43,8200,11632
HCC1954,6,64013317,64161666,1.545,6.98e-10,586,1170
HCC1954,6,64162235,76456100,0.885,8.45e-23,48122,55048
HCC1954,6,76456327,85506297,0.94,3.28e-10,34335,41723
HCC1954,6,85506355,100551695,0.867,3.58e-19,65000,72798
HCC1954,6,100551926,118802856,0.918,1.11e-15,81427,96602
HCC1954,6,118803051,119600343,0.814,1.94e-08,4264,4487
HCC1954,6,119600345,132389988,0.95,6.67e-13,55636,68302
HCC1954,6,132390488,132847766,1.136,2.25e-09,2096,3077
HCC1954,6,132847850,153733371,0.923,3.23e-12,103843,123804
HCC1954,6,153734016,153850581,1.376,4.5e-07,292,519
HCC1954,6,153850674,159530858,0.884,3.35e-08,28444,32478
HCC1954,6,159530948,164044965,0.835,2.82e-06,24461,26402
HCC1954,6,164045105,164098470,0.586,9.8e-09,516,391
HCC1954,6,164098596,170899991,0.807,2.52e-07,35609,37141
HCC1954,7,1,1495188,0.965,1.0,7125,8883
HCC1954,7,1495308,2847702,1.515,0.0,10999,21529
HCC1954,7,2847731,6714680,1.028,2.42e-146,21403,28420
HCC1954,7,6715007,8085691,1.17,1.01e-08,4042,6109
HCC1954,7,8085782,8144578,0.842,4.91e-07,433,471
HCC1954,7,8144939,15164334,1.127,3.29e-06,27559,40147
HCC1954,7,15164434,22203022,1.191,2.56e-07,30704,47267
HCC1954,7,22203136,30285778,1.118,2.49e-11,45585,65841
HCC1954,7,30285987,30994939,1.408,0.0,5174,9414
HCC1954,7,30994987,37021718,1.08,4.6e-42,31077,43383
HCC1954,7,37021803,37988170,0.884,7.48e-25,5374,6140
HCC1954,7,37988409,44251938,1.119,0.0,32892,47579
HCC1954,7,44252053,44303391,0.802,1.82e-10,630,653
HCC1954,7,44305165,45586884,1.031,4.56e-06,8377,11160
HCC1954,7,45586929,49208424,1.137,8.78e-09,19595,28790
HCC1954,7,49208552,56024807,1.072,5.79e-07,33716,46716
HCC1954,7,56024895,76673056,0.976,3.03e-24,53322,67262
HCC1954,7,76673329,80156572,1.145,0.0,14559,21545
HCC1954,7,80156693,90183036,1.069,4.78e-08,39225,54161
HCC1954,7,90183225,90439858,1.987,0.0,581,1492
HCC1954,7,90440077,98570484,1.064,3.2e-30,38332,52706
HCC1954,7,98570672,102729071,0.955,3.08e-21,20860,25751
HCC1954,7,102729323,126726096,1.081,0.0,102881,143668
HCC1954,7,126727003,137950281,1.047,1.69e-06,62995,85215
HCC1954,7,137950340,139906514,0.983,2.84e-06,11614,14759
HCC1954,7,139906598,148275694,1.048,5.73e-06,36028,48811
HCC1954,7,148275743,153654995,0.965,6.03e-15,27577,34388
HCC1954,7,153655274,155097608,0.891,9.2e-07,9314,10729
HCC1954,7,155097716,158821423,0.958,1.13e-05,24127,29877
HCC1954,8,1,8652725,0.404,1.0,27820,14535
HCC1954,8,8653696,16929458,0.437,8.62e-09,33323,18835
HCC1954,8,16929558,18757021,0.501,6.42e-12,8841,5722
HCC1954,8,18757439,33371845,0.454,1.13e-07,80510,47272
HCC1954,8,33372107,39301459,0.43,4.67e-07,30741,17070
HCC1954,8,39301994,39778413,1.152,0.0,592,881
HCC1954,8,39778765,42335836,1.766,0.0,15273,34853
HCC1954,8,42337048,42722898,2.084,6.09e-09,1984,5344
HCC1954,8,42723405,43260012,1.624,5.15e-12,2407,5052
HCC1954,8,43260081,43772156,2.058,7.59e-10,1612,4287
HCC1954,8,43772403,55576125,0.86,1.72e-140,38095,42338
HCC1954,8,55576642,62311290,1.028,0.0,34009,45180
HCC1954,8,62311357,72289337,1.075,2.47e-06,46798,64979
HCC1954,8,72289953,78704100,1.739,0.0,28413,63858
HCC1954,8,78704194,80724505,1.938,1.11e-12,7956,19922
HCC1954,8,80724677,80954000,1.508,9.78e-14,1473,2870
HCC1954,8,80954124,82560777,1.802,1.49e-07,8312,19353
HCC1954,8,82560929,84136453,1.585,3.33e-10,5996,12280
HCC1954,8,84136536,86474025,1.275,1.09e-24,8128,13394
HCC1954,8,86474149,88729235,1.077,7.44e-17,8017,11157
HCC1954,8,88729462,89638977,1.96,0.0,3648,9237
HCC1954,8,89639103,90535859,2.288,8.2e-08,2955,8738
HCC1954,8,90536220,91509277,1.773,1.3e-19,4277,9796
HCC1954,8,91509513,96085704,2.715,0.0,21713,76183
HCC1954,8,96086050,97385373,2.914,3.98e-06,7286,27435
HCC1954,8,97385395,102983068,2.653,2.68e-10,29504,101159
HCC1954,8,102983551,106672809,2.37,3.53e-26,18805,57599
HCC1954,8,106673236,107176690,1.603,1.99e-49,2124,4400
HCC1954,8,107176966,107467277,2.99,0.0,1329,5135
HCC1954,8,107467366,107598322,5.649,0.0,681,4971
HCC1954,8,107598418,107756837,9.485,0.0,629,7709
HCC1954,8,107757015,107911166,6.729,2.67e-09,686,5965
HCC1954,8,107911198,108120767,3.618,1.79e-30,926,4329
HCC1954,8,108120912,108563062,6.228,0.0,2019,16249
HCC1954,8,108563266,108993302,2.459,2.9e-163,2021,6421
HCC1954,8,108993329,109103059,4.353,0.0,469,2638
HCC1954,8,109103360,109288088,3.076,9.21e-08,736,2925
HCC1954,8,109288176,109604719,5.274,0.0,1344,9160
HCC1954,8,109604862,109886920,2.357,1.44e-83,1443,4395
HCC1954,8,109886997,110859721,1.44,1.26e-41,4662,8674
HCC1954,8,110859839,111524831,3.005,0.0,2466,9574
HCC1954,8,111524986,111645611,6.102,0.0,408,3217
HCC1954,8,111645653,111756913,9.532,5e-10,442,5444
HCC1954,8,111757341,111899636,2.129,1.23e-108,567,1560
HCC1954,8,111899666,112023767,4.22,0.0,442,2410
HCC1954,8,112023808,112776068,6.656,0.0,2511,21596
HCC1954,8,112776091,112948545,1.324,4.43e-265,667,1141
HCC1954,8,112948571,113103760,2.498,0.0,610,1969
HCC1954,8,113103944,113826237,4.463,0.0,2357,13593
HCC1954,8,113826342,113910183,1.467,2.09e-67,327,620
HCC1954,8,113910221,114726842,4.204,0.0,2834,15394
HCC1954,8,114726912,115175251,2.362,9.6e-63,1602,4889
HCC1954,8,115175487,115843058,1.811,3.1e-11,1850,4329
HCC1954,8,115843178,116262918,1.488,1.59e-06,1667,3206
HCC1954,8,116263042,117416289,1.767,3.96e-07,5338,12187
HCC1954,8,117416421,117518614,3.583,0.0,433,2005
HCC1954,8,117518626,117949378,5.391,3.1e-13,2327,16210
HCC1954,8,117949423,119190736,6.279,2.25e-09,6748,54755
HCC1954,8,119190799,119874586,4.86,1.03e-33,4050,25436
HCC1954,8,119874644,120996214,1.911,0.0,5258,12986
HCC1954,8,120996310,122154844,2.944,0.0,5799,22058
HCC1954,8,122154979,122979073,1.533,3.46e-147,3205,6349
HCC1954,8,122979122,124619092,2.299,0.0,9046,26876
HCC1954,8,124619186,124830262,1.621,5.07e-29,1633,3421
HCC1954,8,124830507,124987092,2.111,3.55e-07,788,2150
HCC1954,8,124987122,125371394,1.648,4.8e-07,2365,5035
HCC1954,8,125371839,125463127,3.261,0.0,361,1521
HCC1954,8,125463321,125939955,2.349,2.62e-07,3086,9369
HCC1954,8,125940065,126091309,2.953,2.7e-07,843,3217
HCC1954,8,126091448,127895472,1.973,7.35e-22,10344,26367
HCC1954,8,127895598,127955349,3.694,0.0,420,2005
HCC1954,8,127955407,127990767,6.023,1.45e-07,198,1541
HCC1954,8,127991167,128057801,3.558,3.95e-08,350,1609
HCC1954,8,128057878,128136753,7.333,0.0,389,3686
HCC1954,8,128136791,128241856,5.051,1.2e-07,541,3531
HCC1954,8,128241863,128832133,1.823,9.35e-82,3883,9149
HCC1954,8,128832177,128999978,2.534,0.0,1159,3795
HCC1954,8,128999990,129278443,3.445,3.29e-14,2207,9824
HCC1954,8,129278460,129401001,1.8,3.52e-46,837,1947
HCC1954,8,129401101,130356095,0.928,2.08e-41,4971,5962
HCC1954,8,130356766,130450080,2.042,0.0,456,1203
HCC1954,8,130450102,130537748,2.991,3.29e-07,474,1832
HCC1954,8,130537807,130638042,5.979,0.0,551,4257
HCC1954,8,130638112,131014252,2.243,1.14e-73,1909,5533
HCC1954,8,131014372,131349054,0.809,3.36e-154,2221,2323
HCC1954,8,131349833,131665383,1.126,4.44e-16,2146,3122
HCC1954,8,131665703,131893800,0.832,1.1e-11,1523,1637
HCC1954,8,131894022,131973869,2.15,0.0,433,1203
HCC1954,8,131973882,132123278,3.647,2.22e-16,1008,4750
HCC1954,8,132123289,132189243,0.78,5.91e-115,380,383
HCC1954,8,132190441,132280029,2.149,0.0,434,1205
HCC1954,8,132280103,132471145,3.491,4.85e-13,770,3474
HCC1954,8,132471271,132554754,1.575,1.1e-30,404,822
HCC1954,8,132554954,132612495,2.366,1.44e-05,262,801
HCC1954,8,132612589,133944208,1.499,2.78e-09,7785,15078
HCC1954,8,133944370,142424855,0.805,0.0,54634,56831
HCC1954,8,142425023,145464606,0.726,1.12e-21,25086,23542
HCC1954,8,145464786,145619856,1.044,4.44e-14,918,1238
HCC1954,8,145620054,146274825,0.734,4.81e-12,4476,4244
HCC1954,9,1,1077131,1.45,1.0,3010,5641
HCC1954,9,1077257,1163350,3.061,0.0,406,1606
HCC1954,9,1163365,1374759,4.959,6.66e-15,1217,7798
HCC1954,9,1374819,1644368,3.137,2.23e-25,1243,5039
HCC1954,9,1644386,2278548,2.268,4.25e-18,3790,11108
HCC1954,9,2278715,2697147,2.593,9.84e-06,2326,7794
HCC1954,9,2697343,6525767,3.56,0.0,18887,86882
HCC1954,9,6525789,18572332,3.057,1.09e-58,53463,211168
HCC1954,9,18574043,26750329,0.714,0.0,35773,32998
HCC1954,9,26750446,31512386,0.67,1.96e-06,18184,15751
HCC1954,9,31513346,81182200,0.932,0.0,92873,111791
HCC1954,9,81182330,84699407,1.116,0.0,15227,21950
HCC1954,9,84699547,104032838,1.043,3.34e-09,108060,145612
HCC1954,9,104033539,119353754,1.096,2.22e-16,81903,116039
HCC1954,9,119353905,127438848,1.036,2.03e-14,50080,67027
HCC1954,9,127438890,132236861,0.983,1.55e-08,34081,43271
HCC1954,9,132236921,132263376,0.686,2.45e-06,309,274
HCC1954,9,132263535,135649154,0.979,3.28e-06,24687,31231
HCC1954,9,135649295,140273251,0.909,3.21e-11,34463,40458
HCC1954,10,1,1700330,0.922,1.0,11038,13148
HCC1954,10,1700362,4219173,0.8,2.33e-15,13026,13470
HCC1954,10,4219217,12983960,0.861,6.95e-08,48714,54219
HCC1954,10,12984031,15852394,0.766,2.24e-21,17044,16872
HCC1954,10,15852700,32149322,0.828,4.31e-11,76162,81506
HCC1954,10,32150107,33803885,0.902,5.08e-07,7234,8435
HCC1954,10,33803978,41701335,0.825,1.49e-06,22227,23682
HCC1954,10,41702193,51687834,0.63,1.65e-102,33703,27446
HCC1954,10,51688512,52671503,0.73,7.69e-10,4333,4089
HCC1954,10,52671566,58301214,0.894,0.0,19529,22549
HCC1954,10,58301403,63382584,0.742,1.2e-42,23007,22053
HCC1954,10,63382869,70942378,0.698,6.71e-07,32974,29719
HCC1954,10,70942822,71292200,0.854,1.53e-13,3034,3348
HCC1954,10,71292280,91399226,0.661,2.71e-21,113980,97358
HCC1954,10,91399743,97916396,0.708,2.34e-13,31856,29129
HCC1954,10,97916614,108648718,0.65,4.21e-17,64558,54247
HCC1954,10,108648921,108728007,0.479,3.59e-06,507,314
HCC1954,10,108728105,112601598,0.642,1.25e-05,20293,16821
HCC1954,10,112602012,117590070,0.703,1.07e-11,29042,26367
HCC1954,10,117590655,119432814,0.65,1.04e-06,11976,10064
HCC1954,10,119432865,120516336,0.725,1.16e-06,6732,6305
HCC1954,10,120516649,129382980,0.658,2.92e-07,58945,50100
HCC1954,10,129383016,135374736,0.604,1.47e-19,44032,34379
HCC1954,11,1,2568275,0.566,1.0,20017,14649
HCC1954,11,2568454,9798880,0.645,0.0,38380,31991
HCC1954,11,9799301,21417259,0.697,0.0,68339,61554
HCC1954,11,21418170,26041053,0.583,6.76e-45,16356,12314
HCC1954,11,26041287,26735984,0.94,0.0,3002,3645
HCC1954,11,26736310,31758509,0.711,1.08e-23,23048,21180
HCC1954,11,31758667,33511420,0.812,3.22e-14,9476,9941
HCC1954,11,33511498,37864618,1.02,0.0,25506,33623
HCC1954,11,37864701,39939978,0.873,1.66e-18,7272,8203
